"REF_DATE","GEO","DGUID","Labour force characteristics","Educational degree","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","38.3","","","","1"
"2017-02","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","38.4","","","","1"
"2017-03","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","38.1","","","","1"
"2017-04","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","38.4","","","","1"
"2017-05","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","40.9","","","","1"
"2017-06","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","41.9","","","","1"
"2017-07","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","43.5","","","","1"
"2017-08","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","43.0","","","","1"
"2017-09","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","40.3","","","","1"
"2017-10","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","39.9","","","","1"
"2017-11","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","39.4","","","","1"
"2017-12","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","39.0","","","","1"
"2018-01","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","38.2","","","","1"
"2018-02","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","38.9","","","","1"
"2018-03","Canada","2016A000011124","Employment rate","No degree, certificate or diploma","Males","15 years and over","Percentage","242","units","0","v54912638","1.10.2.2.1","38.8","","","","1"
