year,month,geo,dguid,labour_force_characteristics,educational_degree,sex,age_group,uom,uom_id,scalar_factor,scalar_id,vector,coordinate,value,status,symbol,terminated,decimals
2017,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.3,NA,NA,NA,1
2017,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.4,NA,NA,NA,1
2017,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.1,NA,NA,NA,1
2017,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.4,NA,NA,NA,1
2017,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,40.9,NA,NA,NA,1
2017,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,41.9,NA,NA,NA,1
2017,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,43.5,NA,NA,NA,1
2017,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,43,NA,NA,NA,1
2017,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,40.3,NA,NA,NA,1
2017,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.9,NA,NA,NA,1
2017,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.4,NA,NA,NA,1
2017,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39,NA,NA,NA,1
2018,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.2,NA,NA,NA,1
2018,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.9,NA,NA,NA,1
2018,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.8,NA,NA,NA,1
2018,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.2,NA,NA,NA,1
2018,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,41.2,NA,NA,NA,1
2018,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,41.7,NA,NA,NA,1
2018,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,43.1,NA,NA,NA,1
2018,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,43.1,NA,NA,NA,1
2018,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,41.1,NA,NA,NA,1
2018,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,40.1,NA,NA,NA,1
2018,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,40.2,NA,NA,NA,1
2018,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.8,NA,NA,NA,1
2019,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.1,NA,NA,NA,1
2019,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.7,NA,NA,NA,1
2019,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.5,NA,NA,NA,1
2019,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.4,NA,NA,NA,1
2019,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,40.7,NA,NA,NA,1
2019,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,41.2,NA,NA,NA,1
2019,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,43.1,NA,NA,NA,1
2019,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,42.7,NA,NA,NA,1
2019,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,40.2,NA,NA,NA,1
2019,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.8,NA,NA,NA,1
2019,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39,NA,NA,NA,1
2019,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.9,NA,NA,NA,1
2020,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.3,NA,NA,NA,1
2020,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,37.7,NA,NA,NA,1
2020,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,34.7,NA,NA,NA,1
2020,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,29.8,NA,NA,NA,1
2020,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,33.2,NA,NA,NA,1
2020,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,37.2,NA,NA,NA,1
2020,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.5,NA,NA,NA,1
2020,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.4,NA,NA,NA,1
2020,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39,NA,NA,NA,1
2020,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,37.7,NA,NA,NA,1
2020,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.1,NA,NA,NA,1
2020,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,37,NA,NA,NA,1
2021,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,34.5,NA,NA,NA,1
